"","header","digits2","digits6","digits6_des","dupli","notes","SICs","SIC_exclu","SIC","SIC_n"
"1","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0190","16"
"2","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0191","16"
"3","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0192","16"
"4","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0193","16"
"5","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0194","16"
"6","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0195","16"
"7","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0196","16"
"8","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0197","16"
"9","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0198","16"
"10","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0199","16"
"11","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0240","1"
"12","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0241","1"
"13","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0242","1"
"14","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0243","1"
"15","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0244","1"
"16","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0245","1"
"17","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0246","1"
"18","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0247","1"
"19","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0248","1"
"20","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0249","1"
"21","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0259","17"
"22","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0290","17"
"23","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0291","17"
"24","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0292","17"
"25","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0293","17"
"26","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0294","17"
"27","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0295","17"
"28","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0296","17"
"29","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0297","17"
"30","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0298","17"
"31","AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products","FALSE",NA,"024,019, 0259, 029",NA,"0299","17"
