I-O Industry number,I-O Industry title,NAICS
230110,"New residential 1-unit structures, nonfarm",23
230120,"New multifamily housing structures, nonfarm",23
230130,"New residential additions and alterations, nonfarm",23
230140,New farm housing units and additions and alterations,23
230210,Manufacturing and industrial buildings,23
230220,Commercial and institutional buildings,23
230230,"Highway, street, bridge, and tunnel construction",23
230240,"Water, sewer, and pipeline construction",23
230250,Other new construction,23
230310,Maintenance and repair of farm and nonfarm residential structures,23
230320,Maintenance and repair of nonresidential buildings,23
230330,"Maintenance and repair of highways, streets, bridges, and tunnels",23
230340,Other maintenance and repair construction,23
420000,Wholesale trade                                                                ,42
4A0000,Retail trade                                                                   ,44
4A0000,Retail trade                                                                   ,45
550000,Management of companies and enterprises                                        ,55
115000,Agriculture and forestry support activities                                    ,115
211000,Oil and gas extraction                                                         ,211
481000,Air transportation                                                             ,481
482000,Rail transportation                                                            ,482
483000,Water transportation                                                           ,483
484000,Truck transportation                                                           ,484
485000,Transit and ground passenger transportation                                    ,485
486000,Pipeline transportation                                                        ,486
48A000,Scenic and sightseeing transportation and support activities for transportation,487
48A000,Scenic and sightseeing transportation and support activities for transportation,488
491000,Postal service                                                                 ,491
492000,Couriers and messengers                                                        ,492
493000,Warehousing and storage                                                        ,493
52A000,Monetary authorities and depository credit intermediation                      ,521
523000,"Securities, commodity contracts, investments                                   ",523
525000,"Funds, trusts, and other financial vehicles                                    ",525
531000,Real estate                                                                    ,531
533000,Lessors of nonfinancial intangible assets                                      ,533
562000,Waste management and remediation services                                      ,562
622000,Hospitals                                                                      ,622
623000,Nursing and residential care facilities                                        ,623
712000,"Museums, historical sites, zoos, and parks                                     ",712
722000,Food services and drinking places                                              ,722
814000,Private households                                                             ,814
111200,Vegetable and melon farming                                                    ,1112
111400,Greenhouse and nursery production                                              ,1114
112100,Cattle ranching and farming                                                    ,1121
112A00,"Animal production, except cattle and poultry and eggs                          ",1122
112300,Poultry and egg production                                                     ,1123
112A00,"Animal production, except cattle and poultry and eggs                          ",1124
112A00,"Animal production, except cattle and poultry and eggs                          ",1125
112A00,"Animal production, except cattle and poultry and eggs                          ",1129
113A00,"Forest nurseries, forest products, and timber tracts                           ",1131
113A00,"Forest nurseries, forest products, and timber tracts                           ",1132
113300,Logging                                                                        ,1133
114100,Fishing                                                                        ,1141
114200,Hunting and trapping                                                           ,1142
212100,Coal mining                                                                    ,2121
221100,Power generation and supply                                                    ,2211
221200,Natural gas distribution                                                       ,2212
221300,"Water, sewage and other systems                                                ",2213
311700,Seafood product preparation and packaging                                      ,3117
313100,"Fiber, yarn, and thread mills                                                  ",3131
315200,Cut and sew apparel manufacturing                                              ,3152
315900,Accessories and other apparel manufacturing                                    ,3159
316100,Leather and hide tanning and finishing                                         ,3161
