Commodity I-O code,Industry I-O code,input
1111A0,1111A0,1025.2
1111A0,1111B0,14.2
1111A0,111200,1
1111A0,111910,5.4
1111A0,112120,0.5
1111A0,1121A0,0.3
1111A0,311221,105.2
1111A0,311225,728.6
1111A0,31122A,7928.6
1111A0,311910,103.9
1111A0,325110,25.8
1111A0,325120,1.8
1111A0,325130,0.8
1111A0,325190,116.1
1111A0,325411,5.6
1111A0,325412,20.9
1111A0,325413,4.1
1111A0,325414,2
1111A0,550000,0
1111A0,F03000,-642.7
1111A0,F04000,4975.2
1111A0,F05000,-188.8
1111A0,S00600,-104.2
1111B0,1111A0,320.4
1111B0,1111B0,1996
1111B0,111200,4.7
1111B0,111335,0.7
1111B0,1113A0,3.4
1111B0,111400,0.1
1111B0,111910,47.3
1111B0,111920,14.3
1111B0,1119B0,978.3
1111B0,112120,647.6
1111B0,1121A0,1930.2
1111B0,112300,1890.9
1111B0,112A00,466.6
1111B0,311111,1016.6
1111B0,311119,3534.3
1111B0,311210,3162.8
1111B0,311221,3056.2
1111B0,311225,116.4
1111B0,31122A,181.2
1111B0,311230,486.4
1111B0,311410,1241.1
1111B0,311420,173.6
1111B0,311810,519.6
1111B0,311820,269.7
1111B0,311830,82.6
1111B0,311910,153.6
1111B0,311990,190.3
1111B0,312120,619.2
1111B0,312140,113.5
1111B0,325120,24.7
1111B0,325190,103.6
1111B0,4A0000,7.9
1111B0,541700,79.3
1111B0,550000,5.4
1111B0,611100,0.5
1111B0,611A00,8
1111B0,622000,0.2
1111B0,623000,0
1111B0,713950,0.1
1111B0,7211A0,3.7
1111B0,722000,661.9
1111B0,813B00,0
1111B0,F01000,656.5
1111B0,F03000,-2183
1111B0,F04000,5827.5
1111B0,F05000,-701.4
1111B0,S00600,73.4
1111B0,S00700,69
111200,111200,541.7
111200,1113A0,17.3
111200,311410,1259.5
111200,311420,1385.2
111200,311910,579.5
111200,311990,555.6
111200,325120,0.4
111200,483000,0.2
111200,48A000,0
111200,4A0000,259.1
111200,611100,0.1
111200,611A00,59.9
111200,622000,6.7
111200,623000,11.8
111200,713940,1
111200,713950,0.3
111200,713A00,0.1
111200,7211A0,20
111200,721A00,0.7
111200,722000,105.7
111200,813100,2.6
111200,813B00,14.9
111200,F01000,13850.8
111200,F03000,617.1
111200,F04000,1044.4
111200,F05000,-2963.8
111200,S00101,5.6
111200,S00102,3.4
111200,S00700,300.5
111335,111335,29.1
111335,311230,24.3
111335,311320,94.6
111335,311330,198.5
111335,311340,55.5
111335,311410,36.7
111335,311420,13.3
111335,311520,89.2
111335,311810,38.9
111335,311820,139.3
111335,311910,271
111335,311940,69.1
111335,311990,45.5
111335,541700,0.3
111335,F01000,839.7
111335,F03000,8.2
111335,F04000,249.8
111335,F05000,-31.2
1113A0,1113A0,97.8
1113A0,311320,136.3
1113A0,311330,0.9
1113A0,311410,687.7
1113A0,311420,1020.3
1113A0,311910,11.4
1113A0,311920,1253.9
1113A0,311930,196.1
1113A0,311940,19.6
1113A0,311990,815.7
1113A0,312130,954
1113A0,4A0000,30
1113A0,541700,0.1
1113A0,611A00,7.9
1113A0,711200,0
1113A0,713940,0
1113A0,713950,0
1113A0,7211A0,0.1
1113A0,721A00,0
1113A0,722000,6.4
1113A0,813100,0.4
1113A0,813B00,0.1
1113A0,F01000,9666.7
1113A0,F03000,-52.2
1113A0,F04000,1390.9
1113A0,F05000,-5509.9
1113A0,S00102,0.1
1113A0,S00700,13.3
111400,111400,1521.4
111400,115000,239.7
111400,211000,0
111400,221100,0.1
111400,221200,0.2
111400,230201,56.9
111400,230202,52.6
111400,230302,6.9
111400,31161A,0.2
111400,311910,120.9
111400,311990,122.7
111400,325120,1.2
111400,325190,63.1
111400,33999A,42.5
111400,420000,10.7
111400,4A0000,888.7
111400,511200,0.3
111400,52A000,0.1
111400,531000,4.9
111400,541100,0.4
111400,541200,3.4
111400,541300,5
111400,541511,0.1
111400,541512,0.1
111400,54151A,0.1
111400,541610,2.1
111400,541800,3.1
111400,561100,0.2
111400,561200,0
111400,561400,0.1
111400,561700,111.4
111400,561900,0.2
111400,611B00,0.1
