Code,1111A0,1111B0,111200,111300,111400,111900,112120,1121A0,112300,112A00,113000,114000,115000,211000,212100,212230,2122A0,212310,2123A0,213111,21311A,221100,221200,221300,233210,233262,230301,230302,2332A0,233412,2334A0,233230,2332D0,233240,233411,2332C0,321100,321200,321910,3219A0,327100,327200,327310,327320,327330,327390,327400,327910,327991,327992,327993,327999,331110,331200,331314,331313,33131B,331410,331420,331490,331510,331520,332114,33211A,332119,332200,332310,332320,332410,332420,332430,332500,332600,332710,332720,332800,332913,33291A,332991,332996,33299A,332999,333111,333112,333120,333130,333242,33329A,333314,333316,333318,333414,333415,333413,333511,333514,333517,33351B,333611,333612,333613,333618,333912,33391A,333920,333991,333993,333994,33399A,33399B,334111,334112,334118,334210,334220,334290,334413,334418,33441A,334510,334511,334512,334513,334514,334515,334516,334517,33451A,334300,334610,335110,335120,335210,335221,335222,335224,335228,335311,335312,335313,335314,335911,335912,335920,335930,335991,335999,336111,336112,336120,336211,336212,336213,336214,336310,336320,336350,336360,336370,336390,3363A0,336411,336412,336413,336414,33641A,336500,336611,336612,336991,336992,336999,337110,337121,337122,337127,33712N,337215,33721A,337900,339112,339113,339114,339115,339116,339910,339920,339930,339940,339950,339990,311111,311119,311210,311221,311225,311224,311230,311300,311410,311420,311513,311514,31151A,311520,311615,31161A,311700,311810,3118A0,311910,311920,311930,311940,311990,312110,312120,312130,312140,312200,313100,313200,313300,314110,314120,314900,315000,316000,322110,322120,322130,322210,322220,322230,322291,322299,323110,323120,324110,324121,324122,324190,325110,325120,325130,325180,325190,325211,3252A0,325411,325412,325413,325414,325310,325320,325510,325520,325610,325620,325910,3259A0,326110,326120,326130,326140,326150,326160,326190,326210,326220,326290,423100,423400,423600,423800,423A00,424200,424400,424700,424A00,425000,4200ID,441000,445000,452000,444000,446000,447000,448000,454000,4B0000,481000,482000,483000,484000,485000,486000,48A000,492000,493000,511110,511120,511130,5111A0,511200,512100,512200,515100,515200,517110,517210,517A00,518200,519130,5191A0,522A00,52A000,523900,523A00,524113,5241XX,524200,525000,531HSO,531HST,531ORE,532100,532400,532A00,533000,541100,541511,541512,54151A,541200,541300,541610,5416A0,541700,541800,541400,541920,541940,5419A0,550000,561300,561700,561100,561200,561400,561500,561600,561900,562000,611100,611A00,611B00,621100,621200,621300,621400,621500,621600,621900,622000,623A00,623B00,624100,624400,624A00,711100,711200,711500,711A00,712000,713100,713200,713900,721000,722110,722211,722A00,811100,811200,811300,811400,812100,812200,812300,812900,813100,813A00,813B00,814000,S00500,S00600,491000,S00101,S00102,GSLGE,GSLGH,GSLGO,S00201,S00202,S00203,F01000,F02E00,F02N00,F02R00,F02S00,F03000,F04000,F05000,F06C00,F06E00,F06N00,F06S00,F07C00,F07E00,F07N00,F07S00,F10C00,F10E00,F10N00,F10S00,,,
1111A0,2221,113,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,495,20438,,,,,,,,,,,,,,319,,12,38,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,1,1,,421,,,52,31,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,-328,,,,,,,,,,,,,,,-3562,22354,-945,,,,,,,,,,,,,,,
1111B0,,5576,,,,423,1712,5527,1647,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833,8686,12191,7047,386,126,622,,4289,211,,,,,,,,1683,672,799,,,,1067,,2266,,174,,,,,,,,,,,,,,,,,,,,,,,,,23,,,14783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,10,1100,,,,598,171,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,,,,6,,,,,,,,,,2,14,,,,,,,,,0,,,,,,,,,,,,,0,7,0,1,0,,,,,,,,,,,,,,-44,,,,85,0,81,,,,2227,,,,,-7464,16529,-2519,,,,,,,,,,,,,,,
111200,,,435,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,202,,,,,,,,,3,40,,8,60,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,8,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,,,,,,0,0,0,,,,,,,,,,0,0,3,71,59,9,,,,,,,,,3,,1,,,,,0,0,72,33,24,,,,18537,,,,,-2723,2227,-6107,,,,,,,,,,,,,,,
111300,,,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,751,1137,3189,,,,123,,,,102,134,1064,4552,410,352,2719,,,1924,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,4,31,,,,,,,,,,,,,,,,,,,,,,1,5,21,24,17,,,,,,,,,8,,,,,,,,0,48,55,67,,,,19496,,,,,-2076,5744,-14217,,,,,,,,,,,,,,,
111400,,,,,3218,,,,,,,,193,,,,,,,,,,,,,,,45,,,109,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,,,,,,,,,,1,,,,,,0,,,,146,,,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,8,21,0,,338,281,,0,,274,,,20,,,,,,,,,,,,,,0,,,,,,,,,,,0,1,0,0,,,,,0,0,3,,,,,2,0,0,1,15,11,20,,,51,,,,,,,686,1,,1,,,1,,1,1,0,0,,,,,,,,,,,,,,,,,,7,16,6,0,0,0,0,0,,,,,,,,25,,5,,,,,,,5,,1391,,,,15330,,,,,52,683,-2241,,,,,,,,,,,,,,,
111900,269,600,,,1,743,940,1620,,70,,,,,17,4,38,6,19,16,31,,,,42,35,210,623,38,5,446,14,73,76,127,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,892,7,2681,,,,,,2,,,,,27,3232,584,23,1652,13,,185,,,1656,1361,300,,,,,,,,,,,,,,,,,,,,,,31,0,,764,,,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,53,,,,,,1,,37,,,,,,,,1,1,,,,,,,,,,0,,0,,,,,,,,2,,18,,0,0,0,,,,,,,,,,,,,,1,,,,23,,325,,,,4107,,,,,-2417,6508,-1573,,,,,,,,,,,,,,,
112120,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14322,6870,14954,341,,,,,,,,,,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,130,,,,,8,115,-6,,,,,,,,,,,,,,,
1121A0,35,217,4,26,17,14,1583,20861,,223,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,161,322,-1865,,,,,,,,,,,,,,,
112300,10,,,,,3,,,4473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,192,48,,,,143,25446,,,363,435,,,,356,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,129,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,1,43,,,,,,,,,0,0,,,,,,,,,,,,,18,16,33,0,,,,,,,,,,,1,,,,,,,21,111,214,,,,4952,,,,,-223,616,-72,,,,,,,,,,,,,,,
